# partial solutions to the 400 random instances in 400-random.txt
# this file is incomplete because some instances remained unsolved after
# three weeks of searching.
17,5,12,22,6,16,9,24,18,3,8,13,2,4,19,7,10,23,20,1,21,0,11,14,15  91      8654806 22,17,18,19,14,13,8,7,6,5,10,15,16,17,18,23,24,19,18,13,8,3,4,9,14,19,18,13,8,7,6,5,0,1,6,5,10,15,16,17,12,11,16,17,22,23,18,13,12,7,6,11,16,21,22,17,12,7,2,1,6,11,16,21,20,15,16,17,18,19,24,23,22,17,12,7,2,3,4,9,8,7,6,5,0,1,2,7,6,1,0
17,1,22,3,8,2,21,19,0,11,10,15,6,18,14,9,20,16,12,24,7,23,13,5,4  88    223027317 7,12,13,8,9,14,13,18,23,24,19,14,13,18,23,22,17,12,13,18,17,22,21,16,11,6,5,0,1,6,7,2,1,6,5,10,15,16,11,12,7,6,11,10,15,20,21,16,15,10,5,6,11,16,17,12,7,8,13,14,19,18,23,22,17,12,7,6,11,12,13,18,19,14,9,8,7,2,3,4,9,8,3,2,7,6,1,0
6,0,10,13,24,23,18,11,3,2,17,22,7,19,14,16,12,9,20,8,1,5,21,15,4  95    282749418 2,3,4,9,8,3,2,7,12,11,6,5,10,15,20,21,22,23,18,13,8,7,6,11,16,21,22,23,18,13,14,19,24,23,18,17,12,7,6,5,10,15,20,21,22,17,12,7,8,3,4,9,14,19,18,13,8,9,14,19,18,17,12,11,6,5,10,15,20,21,16,11,6,1,2,3,4,9,14,19,24,23,18,17,16,11,6,1,0,5,10,11,6,1,0
13,0,8,21,14,15,19,9,3,7,1,6,12,16,18,4,5,23,24,17,20,10,11,2,22  91    317055977 2,3,8,7,2,3,8,13,12,7,8,13,14,19,18,23,24,19,14,13,18,17,12,7,6,5,10,11,6,1,0,5,10,11,16,15,10,11,16,21,22,17,12,13,8,7,6,1,2,7,6,11,12,13,8,7,6,11,16,21,22,23,18,19,14,13,8,9,4,3,2,7,8,3,2,1,6,5,10,11,16,17,18,19,14,9,4,3,2,1,0
2,3,4,19,7,15,17,11,0,24,9,1,8,12,13,10,5,22,16,20,23,6,14,18,21  88    360925435 3,2,1,6,11,10,5,6,7,12,17,18,19,24,23,22,17,18,19,14,9,8,7,12,11,16,15,10,11,16,17,18,19,14,9,4,3,8,13,12,7,6,1,0,5,10,15,16,21,20,15,10,11,16,17,18,23,24,19,14,13,18,17,22,21,16,17,12,7,6,11,12,7,8,9,14,13,18,23,22,17,12,7,8,3,2,1,0
8,5,12,22,11,7,14,20,19,9,17,15,10,0,6,3,23,4,13,24,2,1,21,18,16  97    449052316 8,3,2,1,0,5,10,11,6,7,12,11,6,7,8,3,4,9,14,13,12,17,16,11,10,15,20,21,16,11,6,5,10,15,20,21,22,23,24,19,14,13,18,23,22,17,18,13,12,7,6,5,10,15,16,17,12,7,8,13,18,23,22,17,12,7,2,3,8,7,2,1,6,7,8,9,4,3,2,1,0,5,10,11,6,7,8,3,2,1,0,5,6,7,2,1,0
21,7,11,9,12,2,13,17,15,19,22,10,14,1,3,16,0,20,24,23,8,5,4,18,6  96    533423105 11,10,15,16,21,20,15,16,17,22,23,18,17,12,13,18,19,24,23,18,17,22,21,16,11,12,7,8,13,12,7,6,11,12,13,14,9,4,3,8,13,14,19,18,13,14,9,4,3,8,7,2,1,0,5,6,1,0,5,10,15,20,21,16,11,6,5,10,15,16,11,12,13,14,19,18,17,22,21,16,11,6,7,12,17,16,11,6,7,12,13,8,7,2,1,0
23,20,2,18,1,6,10,12,3,0,14,5,21,4,13,11,8,19,16,17,15,22,24,9,7  91    568433702 8,3,2,1,0,5,6,1,2,7,6,11,10,5,6,11,12,7,6,1,2,3,4,9,8,13,18,23,22,17,12,13,18,19,24,23,22,17,16,11,6,1,0,5,10,15,16,11,12,17,18,19,14,9,8,7,2,3,4,9,8,13,18,23,22,21,16,15,20,21,16,11,6,1,2,7,12,13,14,19,18,13,14,9,8,7,12,11,10,5,0
1,14,13,3,15,17,10,18,0,9,5,22,16,2,19,20,24,23,4,8,7,11,21,12,6  88    632614115 13,18,17,16,21,22,17,18,19,24,23,22,17,12,7,8,13,18,19,24,23,22,17,16,11,6,1,2,7,6,1,2,3,8,13,18,19,14,9,4,3,8,7,6,5,10,15,20,21,16,15,10,11,16,17,12,13,8,9,14,13,8,7,6,11,12,13,18,17,12,7,6,11,16,17,22,21,20,15,16,17,12,13,8,3,2,1,0
22,5,11,9,14,3,7,23,0,6,18,21,1,17,16,10,15,2,13,4,20,19,24,8,12  88    619724185 7,6,5,0,1,6,7,12,11,10,5,6,7,2,1,6,11,10,15,16,11,12,17,18,23,22,21,16,11,6,7,12,13,14,19,18,23,22,21,16,11,12,13,8,9,14,19,24,23,18,13,14,19,24,23,18,17,16,11,12,7,8,9,4,3,8,13,14,9,4,3,2,7,12,13,18,17,16,11,6,5,0,1,2,7,6,1,0
0,20,11,4,16,1,12,7,5,17,24,2,19,8,14,13,21,10,3,15,22,23,18,9,6  94    704233066 5,6,11,10,15,16,17,12,7,6,1,2,7,8,13,12,11,6,7,8,13,14,9,4,3,8,13,18,19,14,9,8,13,12,17,18,23,24,19,14,13,18,23,22,21,20,15,16,11,10,5,6,1,2,3,8,13,12,11,10,15,16,17,18,19,14,13,12,17,18,23,24,19,18,23,22,21,20,15,16,17,18,19,14,9,8,7,12,11,6,7,2,1,0
10,11,23,6,2,15,9,16,18,21,5,14,0,17,19,3,12,8,4,7,20,1,22,13,24  88    723000017 11,6,7,2,3,8,13,18,19,14,13,12,11,10,5,0,1,2,3,8,9,14,13,12,7,8,13,18,17,12,7,6,11,16,15,10,11,16,21,22,17,12,7,2,1,6,11,16,17,12,7,6,11,10,5,0,1,6,5,0,1,2,3,4,9,8,7,2,3,8,13,18,23,22,21,16,17,12,7,8,13,18,17,12,11,6,1,0
2,21,20,11,10,15,4,24,6,22,1,0,7,3,14,19,18,9,8,5,16,17,13,12,23  95    223391036 12,7,6,1,2,7,8,13,14,19,18,13,14,9,8,13,14,19,18,13,12,17,18,13,12,11,6,5,10,11,6,1,0,5,6,7,8,3,2,1,6,7,8,9,4,3,8,9,14,13,8,9,14,19,18,23,22,17,16,15,10,5,6,7,12,13,18,23,22,17,16,21,20,15,10,11,12,13,18,17,22,23,24,19,18,17,16,21,20,15,10,11,6,1,0
23,0,13,8,18,2,7,17,4,11,1,5,16,22,9,6,20,24,21,15,14,3,19,12,10  95    756717014 0,5,6,1,0,5,10,15,16,11,12,17,18,19,24,23,22,21,20,15,16,17,18,19,24,23,22,21,16,17,12,11,6,1,0,5,10,15,16,11,12,13,18,23,22,17,12,13,18,23,22,17,16,11,12,7,2,3,8,13,14,9,4,3,8,13,14,19,18,17,12,13,14,9,8,7,2,1,6,5,10,11,12,13,14,19,24,23,18,13,8,7,2,1,0
