$ ./etatest -d /local/bzcclaus/pdbcat -j 48 -f samples/sample ../catalogues/8-8-8.cat 
Loading PDB catalogue from ../catalogues/8-8-8.cat
Loading PDB file /local/bzcclaus/pdbcat/0,1,2,5,6,7,10,11,12.pdb
Loading PDB file /local/bzcclaus/pdbcat/0,3,4,8,9,13,14,19,24.pdb
Loading PDB file /local/bzcclaus/pdbcat/0,15,16,17,18,20,21,22,23.pdb
Loaded 3 PDBs and 1 heuristics from ../catalogues/8-8-8.cat
  0:             1 1.289390e-25 1
  1:             2 1.089194e-25 0 1
  2:             4 9.200808e-26 0 0 1
  3:            10 9.715314e-26 0 0 0 1
  4:            26 1.066893e-25 0 0 0 0 1
  5:            64 1.109222e-25 0 0 0 0 0 1
  6:           159 1.163929e-25 0 0 0 0 0 0 1
  7:           366 1.131622e-25 0 0 0 0 0 0 0 1
  8:           862 1.149746e-25 0 0 0 0 0 0 0.00464037 0 0.99536
  9:          1904 1.146723e-25 0 0 0 0 0 0 0 0.019958 0 0.980042
 10:          4538 1.339275e-25 0 0 0 0 0 0 0.00396651 0 0.031732 0 0.964301
 11:         10238 1.498119e-25 0 0 0 0 0 0.000390701 0 0.00625122 0 0.0496191 0 0.943739
 12:         24098 1.791621e-25 0 0 0 0 8.29944e-05 0 0.000705453 0 0.00987634 0 0.0614574 0 0.927878
 13:         53186 1.904172e-25 0 0 0 0 0 1.88019e-05 0 0.00157936 0 0.0121084 0 0.0816568 0 0.904637
 14:        123435 2.389179e-25 0 0 0 0 0 0 0.000299753 0 0.00193624 0 0.0174019 0 0.0969498 0 0.883412
 15:        268416 2.670059e-25 0 0 0 0 0 1.49022e-05 0 0.000294319 0 0.00318908 0 0.0231246 0 0.117646 0 0.855731
 16:        616374 3.261687e-25 0 0 0 0 3.24478e-06 0 1.46015e-05 0 0.000537012 0 0.00440966 0 0.0295957 0 0.133992 0 0.831448
 17:       1048576 3.586437e-25 0 0 0 0 0 1.90735e-06 0 2.95639e-05 0 0.000686646 0 0.0062418 0 0.0370226 0 0.156088 0 0.79993
 18:       1048576 4.575306e-25 0 0 0 0 0 0 1.14441e-05 0 6.29425e-05 0 0.00110054 0 0.00816345 0 0.0460691 0 0.173345 0 0.771248
 19:       1048576 5.186510e-25 0 0 0 0 0 9.53674e-07 0 6.67572e-06 0 0.000117302 0 0.00153065 0 0.0111217 0 0.0559235 0 0.195793 0 0.735506
 20:       1048576 6.429289e-25 0 0 0 0 0 0 9.53674e-07 0 2.09808e-05 0 0.000199318 0 0.00213051 0 0.0141964 0 0.0665617 0 0.213576 0 0.703314
 21:       1048576 7.816777e-25 0 0 0 0 0 9.53674e-07 0 3.8147e-06 0 1.04904e-05 0 0.000313759 0 0.00303364 0 0.0184126 0 0.0787344 0 0.235749 0 0.663741
 22:       1048576 8.693652e-25 0 0 0 0 0 0 0 0 2.86102e-06 0 3.91006e-05 0 0.00043869 0 0.00389767 0 0.0227766 0 0.0909281 0 0.251935 0 0.629982
 23:       1048576 9.457668e-25 0 0 0 0 0 0 0 0 0 3.8147e-06 0 4.1008e-05 0 0.000606537 0 0.00516224 0 0.0284586 0 0.105869 0 0.271188 0 0.588671
 24:       1048576 1.378647e-24 0 0 0 0 0 0 9.53674e-07 0 9.53674e-07 0 4.76837e-06 0 7.05719e-05 0 0.00087738 0 0.00664043 0 0.0339117 0 0.118883 0 0.285296 0 0.554314
 25:       1048576 1.262707e-24 0 0 0 0 0 0 0 0 0 0 0 1.04904e-05 0 0.000117302 0 0.00117874 0 0.00844002 0 0.0412569 0 0.134457 0 0.300537 0 0.514003
 26:       1048576 1.478603e-24 0 0 0 0 0 0 0 0 0 0 9.53674e-07 0 1.23978e-05 0 0.0001688 0 0.00159168 0 0.0105219 0 0.0481396 0 0.148918 0 0.311759 0 0.478888
 27:       1048576 1.534468e-24 0 0 0 0 0 0 0 0 0 0 0 0 0 1.52588e-05 0 0.000226021 0 0.00204945 0 0.0131168 0 0.0573034 0 0.165863 0 0.321683 0 0.439743
 28:       1048576 1.801019e-24 0 0 0 0 0 0 0 0 0 0 0 0 1.90735e-06 0 2.95639e-05 0 0.000266075 0 0.00269985 0 0.0163155 0 0.0652437 0 0.180817 0 0.329044 0 0.405582
 29:       1048576 1.927074e-24 0 0 0 0 0 0 0 0 0 0 0 0 0 1.90735e-06 0 3.43323e-05 0 0.000423431 0 0.00356388 0 0.0198927 0 0.0764942 0 0.196723 0 0.334477 0 0.368389
 30:       1048576 2.121743e-24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9.53674e-07 0 5.14984e-05 0 0.000565529 0 0.00447083 0 0.0234623 0 0.0863066 0 0.210719 0 0.336213 0 0.33821
eta = 1.866807e-23
