1 95 1059622872 199198406 163950295 133060463 63948759 14,5,9,2,18,8,23,19,12,17,15,0,10,20,4,6,11,21,1,7,24,3,16,22,13 2031102635 95 117467064 108703674
2 96 40161477151 29318072174 28011360591 14446211551 8963348921 16,5,1,12,6,24,17,9,2,22,4,10,13,18,19,20,0,23,7,21,15,11,8,3,14 211884984525 96 29264736068 25135947124
3 97 4805007493 5699072723 6731407433 2146564697 1113194453 6,0,24,14,8,5,21,19,9,17,16,20,10,13,2,15,11,22,1,3,7,23,4,18,12 21148144928 97 5434702977 3999342793
4 98 5154861019 1361290863 581368420 632299449 370467747 18,14,0,9,8,3,7,19,2,15,5,12,1,13,24,23,4,21,10,20,16,22,11,6,17 10991471966 98 1400503448 935567772
5 100 1859102197 3125977623 1078990063 905861248 565263022 17,1,20,9,16,2,22,19,14,5,15,21,0,3,24,23,18,13,12,7,10,8,6,4,11 2899007625 100 390578091 273410647
6 101 9810208759 2397434227 1982606973 2739184006 1053141115 2,0,10,19,1,4,16,3,15,20,22,9,6,18,5,13,12,21,8,17,23,11,24,7,14 103460814368 101 6698966111 4796719621
7 104 27686193468 26781188637 19232502973 6429879587 4395653789 21,22,15,9,24,12,16,23,2,8,5,18,17,7,10,14,13,4,0,6,20,11,3,1,19 106321592792 104 17906078537 13194614396
8 108 29575219906 4318849565 4366429730 2609051057 1727994805 7,13,11,22,12,20,1,18,21,5,0,8,14,24,19,9,4,17,16,10,23,15,3,2,6 116202273788 108 13535291029 10376569382
9 113 132599245368 82839919151 33749539711 22489080304 16927179096 3,2,17,0,14,18,22,19,15,20,9,7,10,21,16,6,24,23,8,5,1,4,11,12,13 1818005616606 113 309130241762 187175422518
10 114 525907193133 207752246775 192243603386 105311763457 63629118230 23,14,0,24,17,9,20,21,2,18,10,13,22,1,3,11,4,16,6,5,7,12,8,15,19 1519052821943 114 167583392153 134940105049
11 106 309253017124 22602670676 7683989291 8343197181 4678739173 15,11,8,18,14,3,19,16,20,5,24,2,17,4,22,10,1,13,9,21,23,7,6,12,0 1654042891186 106 116474549412 49573504121
12 109 76476143041 43132155298 14260876794 5820163959 4265458902 12,23,9,18,24,22,4,0,16,13,20,3,15,6,17,8,7,11,19,1,10,2,14,5,21 624413663951 109 171571908021 141565811281
13 101 1979587555 1181771575 690327991 444476728 268475464 21,24,8,1,19,22,12,9,7,18,4,0,23,14,10,6,3,11,16,5,15,2,20,13,17 1959833487 101 701223515 616447004
14 111 312885453572 419699251120 360169788945 74779904961 63056188490 24,1,17,10,15,14,3,13,8,0,22,16,20,7,21,4,12,9,2,11,5,23,6,18,19 1283051362385 111 200822010034 150994599974
15 103 52178879610 26951022561 18771225751 9741418794 8075823446 24,10,15,9,16,6,3,22,17,13,19,23,21,11,18,0,1,2,7,8,20,5,12,4,14 173999717809 103 26267090496 20200259355
16 96 1783144872 1729554795 966783772 387360939 296519726 18,24,17,11,12,10,19,15,6,1,5,21,22,9,7,3,2,16,14,4,20,23,0,8,13 3803445934 96 662629439 553571538
17 109 143972316747 49516974145 25000824805 20405484237 15304298302 23,16,13,24,5,18,22,11,17,0,6,9,20,7,3,2,10,14,12,21,1,19,15,8,4 367150048758 109 33631896485 22863713753
18 110 126470260027 18375847744 18999810842 15070620942 7809249544 0,12,24,10,13,5,2,4,19,21,23,18,8,17,9,22,16,11,6,15,7,3,14,1,20 987725030433 110 285537534331 216061645298
19 106 22761173348 6759987121 4019764127 2836304399 2125081076 16,13,6,23,9,8,3,5,24,15,22,12,21,17,1,19,10,7,11,4,18,2,14,20,0 218284544233 106 32889968312 21754367511
20 92 20689215063 9014702404 4354383611 1615310063 1378812797 4,5,1,23,21,13,2,10,18,17,15,7,0,9,3,14,11,12,19,8,6,20,24,22,16 312016177684 92 22735477601 18204163668
21 103 98083647769 25411173479 18746227139 13731206789 8402416300 24,8,14,5,16,4,13,6,22,19,1,10,9,12,3,0,18,21,20,23,15,17,11,7,2 724024589335 103 58584164217 44703839402
22 95 581539254 82503279 88652504 81038427 37858513 7,6,3,22,15,19,21,2,13,0,8,10,9,4,18,16,11,24,5,12,17,1,23,14,20 3592980531 95 548311618 358982248
23 104 54281904788 36611741317 32729241923 11103574065 8930804356 24,11,18,7,3,17,5,1,23,15,21,8,2,4,19,14,0,16,22,6,9,13,20,12,10 171498441076 104 13045533560 10548597086
24 107 38272741957 25802863114 15170752402 4724091699 3837236834 14,24,18,12,22,15,5,1,23,11,6,19,10,13,7,0,3,9,4,17,2,21,16,20,8 357290691483 107 44201568857 33428251235
25 81 127949696 118780897 85141009 17658986 15217162 3,17,9,8,24,1,11,12,14,0,5,4,22,13,16,21,15,6,7,10,20,23,2,18,19 292174444 81 84227356 69184229
26 105 6039700647 4993857550 2525926189 1337993889 955364988 22,21,15,3,14,13,9,19,24,23,16,0,7,10,18,4,11,20,8,2,1,6,5,17,12 12397787391 105 2659110319 2139369616
27 99 7884559441 1415859414 611960188 432345846 337466232 9,19,8,20,2,3,14,1,24,6,13,18,7,10,17,5,22,12,21,16,15,0,23,11,4 53444360033 99 4216102078 2046198636
28 98 450493295 114571662 36263727 25552985 19743793 17,15,7,12,8,3,4,9,21,5,16,6,19,20,1,22,24,18,11,14,23,10,2,13,0 2258006870 98 372429469 277237937
29 88 1090385785 128886129 34814333 59609938 21223415 10,3,6,13,1,2,20,14,18,11,15,7,5,12,9,24,17,22,4,8,21,23,19,16,0 4787505637 88 600979319 328724666
30 92 661835606 256431250 158409200 99557684 52338447 8,19,7,16,12,2,13,22,14,9,11,5,6,3,18,24,0,15,10,23,1,20,4,17,21 1634941420 92 344637494 269745193
31 99 7785405374 3653831114 2058364161 1622465469 992726542 19,20,12,21,7,0,16,10,5,9,14,23,3,11,4,2,6,1,8,15,17,13,22,24,18 26200330686 99 9053104297 8155230997
32 97 399045498 281515091 232222028 117317314 67570393 1,12,18,13,17,15,3,7,20,0,19,24,6,5,21,11,2,8,9,16,22,10,4,23,14 428222507 97 132190231 110429060
33 106 134103676989 77163409262 57402766270 42219474099 25271466707 11,22,6,21,8,13,20,23,0,2,15,7,12,18,16,3,1,17,5,4,9,14,24,10,19 1062250612558 106 242636097372 212585689793
34 102 59225710222 49923377951 24336781035 7384409074 5346161078 5,18,3,21,22,17,13,24,0,7,15,14,11,2,9,10,1,8,6,16,19,4,20,23,12 481039271661 102 35005528703 24601164074
35 98 23049423391 8584994059 4998934055 3208321325 2369834229 2,10,24,11,22,19,0,3,8,17,15,16,6,4,23,20,18,7,9,14,13,5,12,1,21 116131234743 98 10634620002 7657225682
36 90 603580192 408261989 252309866 133482919 95563302 2,10,1,7,16,9,0,6,12,11,3,18,22,4,13,24,20,15,8,14,21,23,17,19,5 2582008940 90 539330132 448117068
37 100 1646715005 628890120 725323664 542573720 331223844 23,22,5,3,9,6,18,15,10,2,21,13,19,12,20,7,0,1,16,24,17,4,14,8,11 1496759944 100 241609604 217671293
38 96 58097633 9577883 3573949 1906127 1638334 10,3,24,12,0,7,8,11,14,21,22,23,2,1,9,17,18,6,20,4,13,15,5,19,16 38173507 96 7625016 5569572
39 104 34198605172 22810919845 6881101921 2912577301 2428595642 16,24,3,14,5,18,7,6,4,2,0,15,8,10,20,13,19,9,21,11,17,12,22,23,1 161211472633 104 21307377603 13479027313
40 82 26320497 49291000 26655910 10486000 7166383 2,17,4,13,7,12,10,3,0,16,21,24,8,5,18,20,15,19,14,9,22,11,6,1,23 65099578 82 19188906 15211386
41 106 8064453928 1737010534 1123917776 561944277 455028148 13,19,9,10,14,15,23,21,24,16,12,11,0,5,22,20,4,18,3,1,6,2,7,17,8 26998190480 106 7573206864 7118193532
42 108 37492323962 9339335844 7508532598 3490897448 2697310294 16,6,20,18,23,19,7,11,13,17,12,9,1,24,3,22,2,21,10,4,8,15,14,5,0 245852754920 108 50231887608 39893389786
43 104 8816151498 4378714353 3498876258 1532474999 1090696435 7,4,19,12,16,20,15,23,8,10,1,18,2,17,14,24,9,5,0,21,6,3,11,13,22 55147320204 104 11222700070 8704466404
44 93 181555996 37853812 11869090 7686937 5547600 8,12,18,3,2,11,10,22,24,17,1,13,23,4,20,16,6,15,9,21,19,5,14,0,7 867106238 93 58563520 54511645
45 101 17068061084 5614562048 2909124921 2408543192 1339279458 9,7,16,18,12,1,23,8,22,0,6,19,4,13,2,24,11,15,21,17,20,3,10,14,5 79148491306 101 16291382555 14386085329
