no dst          Korf       6-6-6-6         8-8-8         9-8-7         9-9-6        max-of      improved         small
 1  95    2031102635    1059622872     199198406     163950295     133060463      63948759     108703674     117467064
 2  96  211884984525   40161477151   29318072174   28011360591   14446211551    8963348921   25135947124   29264736068
 3  97   21148144928    4805007493    5699072723    6731407433    2146564697    1113194453    3999342793    5434702977
 4  98   10991471966    5154861019    1361290863     581368420     632299449     370467747     935567772    1400503448
 5 100    2899007625    1859102197    3125977623    1078990063     905861248     565263022     273410647     390578091
 6 101  103460814368    9810208759    2397434227    1982606973    2739184006    1053141115    4796719621    6698966111
 7 104  106321592792   27686193468   26781188637   19232502973    6429879587    4395653789   13194614396   17906078537
 8 108  116202273788   29575219906    4318849565    4366429730    2609051057    1727994805   10376569382   13535291029
 9 113 1818005616606  132599245368   82839919151   33749539711   22489080304   16927179096  187175422518  309130241762
10 114 1519052821943  525907193133  207752246775  192243603386  105311763457   63629118230  134940105049  167583392153
11 106 1654042891186  309253017124   22602670676    7683989291    8343197181    4678739173   49573504121  116474549412
12 109  624413663951   76476143041   43132155298   14260876794    5820163959    4265458902  141565811281  171571908021
13 101    1959833487    1979587555    1181771575     690327991     444476728     268475464     616447004     701223515
14 111 1283051362385  312885453572  419699251120  360169788945   74779904961   63056188490  150994599974  200822010034
15 103  173999717809   52178879610   26951022561   18771225751    9741418794    8075823446   20200259355   26267090496
16  96    3803445934    1783144872    1729554795     966783772     387360939     296519726     553571538     662629439
17 109  367150048758  143972316747   49516974145   25000824805   20405484237   15304298302   22863713753   33631896485
18 110  987725030433  126470260027   18375847744   18999810842   15070620942    7809249544  216061645298  285537534331
19 106  218284544233   22761173348    6759987121    4019764127    2836304399    2125081076   21754367511   32889968312
20  92  312016177684   20689215063    9014702404    4354383611    1615310063    1378812797   18204163668   22735477601
21 103  724024589335   98083647769   25411173479   18746227139   13731206789    8402416300   44703839402   58584164217
22  95    3592980531     581539254      82503279      88652504      81038427      37858513     358982248     548311618
23 104  171498441076   54281904788   36611741317   32729241923   11103574065    8930804356   10548597086   13045533560
24 107  357290691483   38272741957   25802863114   15170752402    4724091699    3837236834   33428251235   44201568857
25  81     292174444     127949696     118780897      85141009      17658986      15217162      69184229      84227356
26 105   12397787391    6039700647    4993857550    2525926189    1337993889     955364988    2139369616    2659110319
27  99   53444360033    7884559441    1415859414     611960188     432345846     337466232    2046198636    4216102078
28  98    2258006870     450493295     114571662      36263727      25552985      19743793     277237937     372429469
29  88    4787505637    1090385785     128886129      34814333      59609938      21223415     328724666     600979319
30  92    1634941420     661835606     256431250     158409200      99557684      52338447     269745193     344637494
31  99   26200330686    7785405374    3653831114    2058364161    1622465469     992726542    8155230997    9053104297
32  97     428222507     399045498     281515091     232222028     117317314      67570393     110429060     132190231
33 106 1062250612558  134103676989   77163409262   57402766270   42219474099   25271466707  212585689793  242636097372
34 102  481039271661   59225710222   49923377951   24336781035    7384409074    5346161078   24601164074   35005528703
35  98  116131234743   23049423391    8584994059    4998934055    3208321325    2369834229    7657225682   10634620002
36  90    2582008940     603580192     408261989     252309866     133482919      95563302     448117068     539330132
37 100    1496759944    1646715005     628890120     725323664     542573720     331223844     217671293     241609604
38  96      38173507      58097633       9577883       3573949       1906127       1638334       5569572       7625016
39 104  161211472633   34198605172   22810919845    6881101921    2912577301    2428595642   13479027313   21307377603
40  82      65099578      26320497      49291000      26655910      10486000       7166383      15211386      19188906
41 106   26998190480    8064453928    1737010534    1123917776     561944277     455028148    7118193532    7573206864
42 108  245852754920   37492323962    9339335844    7508532598    3490897448    2697310294   39893389786   50231887608
43 104   55147320204    8816151498    4378714353    3498876258    1532474999    1090696435    8704466404   11222700070
44  93     867106238     181555996      37853812      11869090       7686937       5547600      54511645      58563520
45 101   79148491306   17068061084    5614562048    2909124921    2408543192    1339279458   14386085329   16291382555
46 100   65675717510   21674806323    9872851915   10304210129    8017940089    3402288275    1721078711    3323229228
47  92   30443173162    4385270986    3825636827    4520442316    1479759728     960463883    4208353106    5381998824
48 107  555085543507   58365224981   99614525233   68013167519   19890964633   12563246704   97237792233  120724359750
49 100  108197305702   11220738849    5526627744    4160235910    2792736271    1587674537    8357503208   12414119411
50 113 4156099168506 1067321687213  334283260227  168384195109  152720707871  100026128248            -1  493791380323
