Loading PDB catalogue from catalogues/manhatten.cat
Loading PDB file /srv/pdb/pdbcat/1.pdb
Loading PDB file /srv/pdb/pdbcat/2.pdb
Loading PDB file /srv/pdb/pdbcat/3.pdb
Loading PDB file /srv/pdb/pdbcat/4.pdb
Loading PDB file /srv/pdb/pdbcat/5.pdb
Loading PDB file /srv/pdb/pdbcat/6.pdb
Loading PDB file /srv/pdb/pdbcat/7.pdb
Loading PDB file /srv/pdb/pdbcat/8.pdb
Loading PDB file /srv/pdb/pdbcat/9.pdb
Loading PDB file /srv/pdb/pdbcat/10.pdb
Loading PDB file /srv/pdb/pdbcat/11.pdb
Loading PDB file /srv/pdb/pdbcat/12.pdb
Loading PDB file /srv/pdb/pdbcat/13.pdb
Loading PDB file /srv/pdb/pdbcat/14.pdb
Loading PDB file /srv/pdb/pdbcat/15.pdb
Loading PDB file /srv/pdb/pdbcat/16.pdb
Loading PDB file /srv/pdb/pdbcat/17.pdb
Loading PDB file /srv/pdb/pdbcat/18.pdb
Loading PDB file /srv/pdb/pdbcat/19.pdb
Loading PDB file /srv/pdb/pdbcat/20.pdb
Loading PDB file /srv/pdb/pdbcat/21.pdb
Loading PDB file /srv/pdb/pdbcat/22.pdb
Loading PDB file /srv/pdb/pdbcat/23.pdb
Loading PDB file /srv/pdb/pdbcat/24.pdb
Loaded 24 PDBs and 1 heuristics from catalogues/manhatten.cat
Loading PDB catalogue from catalogues/clausecker.cat
Loading PDB file /srv/pdb/pdbcat/0,15,16,17,20,21,22.pdb
Loading PDB file /srv/pdb/pdbcat/0,13,14,18,19,23,24.pdb
Loading PDB file /srv/pdb/pdbcat/0,3,4,7,8,9,12.pdb
Loading PDB file /srv/pdb/pdbcat/0,1,2,5,6,10,11.pdb
Loaded 4 PDBs and 1 heuristics from catalogues/clausecker.cat
   0 avg 1.000000e+00 part 1.289390e-25 sdev 0.000000e+00 samples        1
   1 avg 4.223678e-01 part 1.089194e-25 sdev 0.000000e+00 samples        2
   2 avg 1.783946e-01 part 9.200808e-26 sdev 0.000000e+00 samples        4
   3 avg 7.534813e-02 part 9.715314e-26 sdev 0.000000e+00 samples       10
   4 avg 3.182463e-02 part 1.066893e-25 sdev 1.387779e-17 samples       26
   5 avg 1.344170e-02 part 1.109222e-25 sdev 1.734723e-17 samples       64
   6 avg 6.335135e-03 part 1.298785e-25 sdev 4.094731e-03 samples      159
   7 avg 2.880714e-03 part 1.359457e-25 sdev 2.258034e-03 samples      366
   8 avg 1.673285e-03 part 1.859780e-25 sdev 3.462777e-03 samples      862
   9 avg 8.567696e-04 part 2.103368e-25 sdev 1.796559e-03 samples     1904
  10 avg 5.816028e-04 part 3.403105e-25 sdev 2.271399e-03 samples     4538
  11 avg 3.190399e-04 part 4.211574e-25 sdev 1.532473e-03 samples    10238
  12 avg 2.087712e-04 part 6.486881e-25 sdev 1.256166e-03 samples    24098
  13 avg 1.149142e-04 part 7.880526e-25 sdev 6.535585e-04 samples    53186
  14 avg 7.667104e-05 part 1.220265e-24 sdev 6.444228e-04 samples   123435
  15 avg 4.180144e-05 part 1.446718e-24 sdev 3.167245e-04 samples   268416
  16 avg 2.802571e-05 part 2.227334e-24 sdev 3.231372e-04 samples   616374
  17 avg 1.564687e-05 part 2.676973e-24 sdev 1.676100e-04 samples  1326882
  18 avg 1.061180e-05 part 4.133731e-24 sdev 1.702993e-04 samples  3021126
  19 avg 6.000109e-06 part 4.981387e-24 sdev 9.553163e-05 samples  6438828
  20 avg 4.023855e-06 part 7.535886e-24 sdev 9.059261e-05 samples 10000000
  21 avg 2.256283e-06 part 8.912010e-24 sdev 4.374360e-05 samples 10000000
  22 avg 1.499306e-06 part 1.324501e-23 sdev 4.389373e-05 samples 10000000
  23 avg 8.518401e-07 part 1.571816e-23 sdev 2.348135e-05 samples 10000000
  24 avg 5.710588e-07 part 2.336378e-23 sdev 2.273871e-05 samples 10000000
  25 avg 3.233823e-07 part 2.736042e-23 sdev 1.090601e-05 samples 10000000
  26 avg 2.141368e-07 part 3.981635e-23 sdev 7.140524e-06 samples 10000000
  27 avg 1.229505e-07 part 4.679086e-23 sdev 5.508746e-06 samples 10000000
  28 avg 7.993712e-08 part 6.624455e-23 sdev 2.276408e-06 samples 10000000
  29 avg 4.617942e-08 part 7.749512e-23 sdev 1.408353e-06 samples 10000000
  30 avg 3.048557e-08 part 1.103393e-22 sdev 1.791756e-06 samples 10000000
  31 avg 1.781831e-08 part 1.291053e-22 sdev 7.281426e-07 samples 10000000
  32 avg 1.144793e-08 part 1.770452e-22 sdev 4.801850e-07 samples 10000000
  33 avg 7.227696e-09 part 2.216403e-22 sdev 8.493611e-07 samples 10000000
  34 avg 4.596907e-09 part 2.975589e-22 sdev 2.674844e-07 samples 10000000
  35 avg 2.598590e-09 part 3.288088e-22 sdev 1.156944e-07 samples 10000000
  36 avg 1.737440e-09 part 4.599982e-22 sdev 1.460163e-07 samples 10000000
  37 avg 9.535711e-10 part 4.871242e-22 sdev 6.131063e-08 samples 10000000
  38 avg 6.582145e-10 part 6.951982e-22 sdev 6.101480e-08 samples 10000000
  39 avg 3.861837e-10 part 7.761667e-22 sdev 2.619835e-08 samples 10000000
  40 avg 2.442112e-10 part 1.001133e-21 sdev 1.747465e-08 samples 10000000
  41 avg 1.363730e-10 part 1.048967e-21 sdev 9.559403e-09 samples 10000000
  42 avg 8.723318e-11 part 1.354540e-21 sdev 7.387651e-09 samples 10000000
  43 avg 4.919789e-11 part 1.412452e-21 sdev 4.005517e-09 samples 10000000
  44 avg 3.173295e-11 part 1.807966e-21 sdev 2.335080e-09 samples 10000000
  45 avg 1.959216e-11 part 2.033912e-21 sdev 1.832594e-09 samples 10000000
  46 avg 1.182146e-11 part 2.407093e-21 sdev 9.633416e-10 samples 10000000
  47 avg 6.445054e-12 part 2.357902e-21 sdev 6.977853e-10 samples 10000000
  48 avg 4.240009e-12 part 2.992897e-21 sdev 2.949519e-10 samples 10000000
  49 avg 2.563525e-12 part 3.183436e-21 sdev 2.182106e-10 samples 10000000
  50 avg 1.761448e-12 part 4.178237e-21 sdev 3.823386e-10 samples 10000000
  51 avg 8.386509e-13 part 3.446687e-21 sdev 7.073763e-11 samples 10000000
  52 avg 5.477389e-13 part 4.188539e-21 sdev 5.287815e-11 samples 10000000
  53 avg 2.986967e-13 part 3.896705e-21 sdev 2.886951e-11 samples 10000000
  54 avg 1.892989e-13 part 4.562149e-21 sdev 2.249583e-11 samples 10000000
  55 avg 1.014466e-13 part 4.065084e-21 sdev 1.047332e-11 samples  9137321
  56 avg 7.614466e-14 part 5.536944e-21 sdev 1.086413e-10 samples  7630467
  57 avg 3.195247e-14 part 3.720612e-21 sdev 3.013890e-12 samples  6278343
  58 avg 2.006526e-14 part 4.268135e-21 sdev 1.873476e-12 samples  5140162
  59 avg 1.224377e-14 part 4.107302e-21 sdev 1.465727e-12 samples  4879476
  60 avg 7.669364e-15 part 4.537759e-21 sdev 1.141544e-12 samples  3333477
  61 avg 3.576977e-15 part 3.300964e-21 sdev 3.852310e-13 samples  2629233
  62 avg 2.481493e-15 part 3.970727e-21 sdev 2.726081e-13 samples  2072350
  63 avg 1.364500e-15 part 3.346377e-21 sdev 7.648091e-13 samples   952594
  64 avg 8.934431e-16 part 3.511731e-21 sdev 1.699714e-13 samples   736146
rest avg 2.364470e-20 part 2.364446e-20 sdev 1.080869e-16 samples 100000000 rej 1079)
eta   1.079124e-19
sdev  6.641207e-13
error 1.139662e-20
