Loading PDB catalogue from catalogues/reinefeld-t.cat
Loading PDB file /srv/pdb/pdbcat/0,1,5,6,10,11,12.pdb
Loading PDB file /srv/pdb/pdbcat/0,2,3,4,7,8,9.pdb
Loading PDB file /srv/pdb/pdbcat/0,13,14,18,19,23,24.pdb
Loading PDB file /srv/pdb/pdbcat/0,15,16,17,20,21,22.pdb
Loading PDB file /srv/pdb/pdbcat/0,1,2,5,6,7,12.pdb
Loading PDB file /srv/pdb/pdbcat/0,10,11,15,16,20,21.pdb
Loading PDB file /srv/pdb/pdbcat/0,17,18,19,22,23,24.pdb
Loading PDB file /srv/pdb/pdbcat/0,3,4,8,9,13,14.pdb
Loaded 8 PDBs and 2 heuristics from catalogues/reinefeld-t.cat
Loading PDB catalogue from catalogues/clausecker.cat
Loading PDB file /srv/pdb/pdbcat/0,15,16,17,20,21,22.pdb
Loading PDB file /srv/pdb/pdbcat/0,13,14,18,19,23,24.pdb
Loading PDB file /srv/pdb/pdbcat/0,3,4,7,8,9,12.pdb
Loading PDB file /srv/pdb/pdbcat/0,1,2,5,6,10,11.pdb
Loaded 4 PDBs and 1 heuristics from catalogues/clausecker.cat
   0 avg 1.000000e+00 part 1.289390e-25 sdev 0.000000e+00 samples        1
   1 avg 4.223678e-01 part 1.089194e-25 sdev 0.000000e+00 samples        2
   2 avg 1.783946e-01 part 9.200808e-26 sdev 0.000000e+00 samples        4
   3 avg 7.534813e-02 part 9.715314e-26 sdev 0.000000e+00 samples       10
   4 avg 3.182463e-02 part 1.066893e-25 sdev 1.387779e-17 samples       26
   5 avg 1.344170e-02 part 1.109222e-25 sdev 1.734723e-17 samples       64
   6 avg 5.677341e-03 part 1.163929e-25 sdev 5.204170e-18 samples      159
   7 avg 2.397926e-03 part 1.131622e-25 sdev 6.071532e-18 samples      366
   8 avg 1.012807e-03 part 1.125689e-25 sdev 6.288373e-18 samples      862
   9 avg 4.608888e-04 part 1.131481e-25 sdev 2.532562e-04 samples     1904
  10 avg 2.254416e-04 part 1.319116e-25 sdev 3.850232e-04 samples     4538
  11 avg 1.091869e-04 part 1.441352e-25 sdev 3.188445e-04 samples    10238
  12 avg 5.679726e-05 part 1.764789e-25 sdev 3.463288e-04 samples    24098
  13 avg 2.780860e-05 part 1.907044e-25 sdev 1.548167e-04 samples    53186
  14 avg 1.485296e-05 part 2.363936e-25 sdev 1.022565e-04 samples   123435
  15 avg 7.697319e-06 part 2.663987e-25 sdev 5.118040e-05 samples   268416
  16 avg 4.269340e-06 part 3.393043e-25 sdev 3.744175e-05 samples   616374
  17 avg 2.304106e-06 part 3.942023e-25 sdev 2.263985e-05 samples  1326882
  18 avg 1.280555e-06 part 4.988288e-25 sdev 1.919900e-05 samples  3021126
  19 avg 6.814023e-07 part 5.657111e-25 sdev 9.525807e-06 samples  6438828
  20 avg 3.680482e-07 part 6.892817e-25 sdev 6.567449e-06 samples 10000000
  21 avg 1.943164e-07 part 7.675234e-25 sdev 2.899423e-06 samples 10000000
  22 avg 1.066823e-07 part 9.424413e-25 sdev 1.931327e-06 samples 10000000
  23 avg 5.581195e-08 part 1.029843e-24 sdev 8.856510e-07 samples 10000000
  24 avg 3.030249e-08 part 1.239768e-24 sdev 5.912681e-07 samples 10000000
  25 avg 1.579340e-08 part 1.336233e-24 sdev 2.350900e-07 samples 10000000
  26 avg 8.573528e-09 part 1.594152e-24 sdev 1.684226e-07 samples 10000000
  27 avg 4.520588e-09 part 1.720384e-24 sdev 7.315946e-08 samples 10000000
  28 avg 2.452381e-09 part 2.032308e-24 sdev 4.963077e-08 samples 10000000
  29 avg 1.253196e-09 part 2.103027e-24 sdev 2.060268e-08 samples 10000000
  30 avg 6.482864e-10 part 2.346404e-24 sdev 1.215331e-08 samples 10000000
  31 avg 3.464932e-10 part 2.510570e-24 sdev 5.529860e-09 samples 10000000
  32 avg 1.887277e-10 part 2.918722e-24 sdev 3.322314e-09 samples 10000000
  33 avg 1.012700e-10 part 3.105486e-24 sdev 3.756285e-09 samples 10000000
  34 avg 5.528026e-11 part 3.578305e-24 sdev 1.980504e-09 samples 10000000
  35 avg 2.734623e-11 part 3.460215e-24 sdev 5.890592e-10 samples 10000000
  36 avg 1.503084e-11 part 3.979509e-24 sdev 3.128198e-10 samples 10000000
  37 avg 7.781090e-12 part 3.974908e-24 sdev 1.229709e-10 samples 10000000
  38 avg 3.846697e-12 part 4.062835e-24 sdev 7.829332e-11 samples 10000000
  39 avg 2.210555e-12 part 4.442858e-24 sdev 9.081865e-11 samples 10000000
  40 avg 1.182174e-12 part 4.846272e-24 sdev 2.126289e-11 samples 10000000
  41 avg 6.206666e-13 part 4.774102e-24 sdev 1.687269e-11 samples 10000000
  42 avg 3.106547e-13 part 4.823784e-24 sdev 5.534983e-12 samples 10000000
  43 avg 1.731962e-13 part 4.972392e-24 sdev 4.160941e-12 samples 10000000
  44 avg 7.818629e-14 part 4.454617e-24 sdev 1.475293e-12 samples 10000000
  45 avg 4.166358e-14 part 4.325203e-24 sdev 9.688570e-13 samples 10000000
  46 avg 2.373762e-14 part 4.833467e-24 sdev 8.122484e-13 samples 10000000
  47 avg 1.246874e-14 part 4.561647e-24 sdev 2.078305e-13 samples 10000000
  48 avg 5.908490e-15 part 4.170628e-24 sdev 1.129938e-13 samples 10000000
  49 avg 3.288353e-15 part 4.083541e-24 sdev 6.236121e-14 samples 10000000
  50 avg 1.814502e-15 part 4.304082e-24 sdev 3.135423e-14 samples 10000000
  51 avg 1.148554e-15 part 4.720326e-24 sdev 2.215846e-14 samples 10000000
  52 avg 5.259987e-16 part 4.022293e-24 sdev 2.387399e-14 samples 10000000
  53 avg 2.313423e-16 part 3.018020e-24 sdev 7.653166e-15 samples 10000000
  54 avg 1.142443e-16 part 2.753314e-24 sdev 2.327635e-15 samples 10000000
  55 avg 6.309922e-17 part 2.528459e-24 sdev 1.063647e-15 samples  9137321
  56 avg 3.355137e-17 part 2.439725e-24 sdev 5.923674e-16 samples  7630467
  57 avg 1.771842e-17 part 2.063170e-24 sdev 3.185295e-16 samples  6278343
  58 avg 1.189135e-17 part 2.529442e-24 sdev 2.905820e-16 samples  5140162
  59 avg 4.873136e-18 part 1.634745e-24 sdev 9.717418e-17 samples  4879476
  60 avg 2.199271e-18 part 1.301250e-24 sdev 2.971015e-17 samples  3333477
  61 avg 1.182910e-18 part 1.091632e-24 sdev 1.895094e-17 samples  2629233
  62 avg 6.673571e-19 part 1.067862e-24 sdev 9.906861e-18 samples  2072350
  63 avg 2.895511e-19 part 7.101113e-25 sdev 5.331216e-18 samples   952594
  64 avg 3.691443e-19 part 1.450944e-24 sdev 3.931774e-18 samples   736146
rest avg 2.572682e-24 part 2.572655e-24 sdev 2.052266e-21 samples 100000000 rej 1079)
eta   1.359324e-22
sdev  4.542831e-13
error 2.670943e-25
