Loading PDB catalogue from catalogues/small-compound.cat
Loading PDB file /srv/pdb/pdbcat/0,1,5,6,10,11,12.pdb
Loading PDB file /srv/pdb/pdbcat/0,2,3,4,7,8,9.pdb
Loading PDB file /srv/pdb/pdbcat/0,13,14,18,19,23,24.pdb
Loading PDB file /srv/pdb/pdbcat/0,15,16,17,20,21,22.pdb
Loading PDB file /srv/pdb/pdbcat/0,1,2,5,6,10,11.pdb
Loading PDB file /srv/pdb/pdbcat/0,3,4,7,8,9,12.pdb
Loading PDB file /srv/pdb/pdbcat/0,13,14,15,16,17,18.pdb
Loading PDB file /srv/pdb/pdbcat/0,19,20,21,22,23,24.pdb
Loading PDB file /srv/pdb/pdbcat/0,1,5,6,10,15,20.pdb
Loading PDB file /srv/pdb/pdbcat/0,11,12,16,17,21,22.pdb
Loading PDB file /srv/pdb/pdbcat/0,3,4,9,14,19,24.pdb
Loading PDB file /srv/pdb/pdbcat/0,7,8,12,13,18,23.pdb
Loading PDB file /srv/pdb/pdbcat/0,11,12,13,16,17,18.pdb
Loading PDB file /srv/pdb/pdbcat/0,14,19,21,22,23,24.pdb
Loaded 14 PDBs and 7 heuristics from catalogues/small-compound.cat
Loading PDB catalogue from catalogues/clausecker.cat
Loading PDB file /srv/pdb/pdbcat/0,15,16,17,20,21,22.pdb
Loading PDB file /srv/pdb/pdbcat/0,13,14,18,19,23,24.pdb
Loading PDB file /srv/pdb/pdbcat/0,3,4,7,8,9,12.pdb
Loading PDB file /srv/pdb/pdbcat/0,1,2,5,6,10,11.pdb
Loaded 4 PDBs and 1 heuristics from catalogues/clausecker.cat
   0 avg 1.000000e+00 part 1.289390e-25 sdev 0.000000e+00 samples        1
   1 avg 4.223678e-01 part 1.089194e-25 sdev 0.000000e+00 samples        2
   2 avg 1.783946e-01 part 9.200808e-26 sdev 0.000000e+00 samples        4
   3 avg 7.534813e-02 part 9.715314e-26 sdev 0.000000e+00 samples       10
   4 avg 3.182463e-02 part 1.066893e-25 sdev 1.387779e-17 samples       26
   5 avg 1.344170e-02 part 1.109222e-25 sdev 1.734723e-17 samples       64
   6 avg 5.677341e-03 part 1.163929e-25 sdev 5.204170e-18 samples      159
   7 avg 2.397926e-03 part 1.131622e-25 sdev 6.071532e-18 samples      366
   8 avg 1.045275e-03 part 1.161775e-25 sdev 3.878051e-04 samples      862
   9 avg 4.453677e-04 part 1.093377e-25 sdev 1.853287e-04 samples     1904
  10 avg 2.009996e-04 part 1.176099e-25 sdev 1.828824e-04 samples     4538
  11 avg 9.468599e-05 part 1.249929e-25 sdev 1.910809e-04 samples    10238
  12 avg 4.584611e-05 part 1.424518e-25 sdev 1.535807e-04 samples    24098
  13 avg 2.135783e-05 part 1.464666e-25 sdev 7.244323e-05 samples    53186
  14 avg 1.065482e-05 part 1.695776e-25 sdev 6.431109e-05 samples   123435
  15 avg 5.147344e-06 part 1.781459e-25 sdev 2.809847e-05 samples   268416
  16 avg 2.640404e-06 part 2.098452e-25 sdev 2.036011e-05 samples   616374
  17 avg 1.356254e-06 part 2.320372e-25 sdev 1.047676e-05 samples  1326882
  18 avg 7.145737e-07 part 2.783558e-25 sdev 7.379224e-06 samples  3021126
  19 avg 3.769915e-07 part 3.129844e-25 sdev 3.438378e-06 samples  6438828
  20 avg 1.998208e-07 part 3.742250e-25 sdev 1.848379e-06 samples 10000000
  21 avg 1.078158e-07 part 4.258576e-25 sdev 1.106993e-06 samples 10000000
  22 avg 5.753644e-08 part 5.082820e-25 sdev 7.656719e-07 samples 10000000
  23 avg 3.077540e-08 part 5.678680e-25 sdev 3.620095e-07 samples 10000000
  24 avg 1.651276e-08 part 6.755879e-25 sdev 2.216160e-07 samples 10000000
  25 avg 8.749410e-09 part 7.402617e-25 sdev 1.051597e-07 samples 10000000
  26 avg 4.707329e-09 part 8.752753e-25 sdev 8.482717e-08 samples 10000000
  27 avg 2.507239e-09 part 9.541714e-25 sdev 3.185930e-08 samples 10000000
  28 avg 1.334691e-09 part 1.106070e-24 sdev 1.632521e-08 samples 10000000
  29 avg 7.200130e-10 part 1.208276e-24 sdev 1.018710e-08 samples 10000000
  30 avg 3.783697e-10 part 1.369469e-24 sdev 5.853402e-09 samples 10000000
  31 avg 1.974964e-10 part 1.430990e-24 sdev 3.166859e-09 samples 10000000
  32 avg 1.105648e-10 part 1.709913e-24 sdev 1.687932e-09 samples 10000000
  33 avg 6.016103e-11 part 1.844863e-24 sdev 1.108402e-09 samples 10000000
  34 avg 3.128435e-11 part 2.025044e-24 sdev 6.318739e-10 samples 10000000
  35 avg 1.624549e-11 part 2.055599e-24 sdev 2.182618e-10 samples 10000000
  36 avg 9.002175e-12 part 2.383382e-24 sdev 1.175292e-10 samples 10000000
  37 avg 4.538928e-12 part 2.318675e-24 sdev 6.913319e-11 samples 10000000
  38 avg 2.481859e-12 part 2.621310e-24 sdev 4.426742e-11 samples 10000000
  39 avg 1.357824e-12 part 2.729005e-24 sdev 8.675656e-11 samples 10000000
  40 avg 7.076859e-13 part 2.901129e-24 sdev 1.107618e-11 samples 10000000
  41 avg 3.544633e-13 part 2.726495e-24 sdev 4.694291e-12 samples 10000000
  42 avg 1.878632e-13 part 2.917103e-24 sdev 2.404531e-12 samples 10000000
  43 avg 9.753978e-14 part 2.800328e-24 sdev 1.413581e-12 samples 10000000
  44 avg 5.100188e-14 part 2.905801e-24 sdev 6.833158e-13 samples 10000000
  45 avg 2.779446e-14 part 2.885413e-24 sdev 4.520857e-13 samples 10000000
  46 avg 1.425143e-14 part 2.901883e-24 sdev 3.257939e-13 samples 10000000
  47 avg 7.821807e-15 part 2.861582e-24 sdev 1.012583e-13 samples 10000000
  48 avg 4.128484e-15 part 2.914175e-24 sdev 7.156777e-14 samples 10000000
  49 avg 2.097008e-15 part 2.604106e-24 sdev 3.445288e-14 samples 10000000
  50 avg 1.098856e-15 part 2.606538e-24 sdev 1.898232e-14 samples 10000000
  51 avg 6.453874e-16 part 2.652413e-24 sdev 1.153660e-14 samples 10000000
  52 avg 3.223891e-16 part 2.465297e-24 sdev 5.998237e-15 samples 10000000
  53 avg 1.559117e-16 part 2.033975e-24 sdev 3.161964e-15 samples 10000000
  54 avg 7.846634e-17 part 1.891057e-24 sdev 1.058933e-15 samples 10000000
  55 avg 5.282845e-17 part 2.116897e-24 sdev 1.073843e-15 samples  9137321
  56 avg 2.294940e-17 part 1.668791e-24 sdev 3.569837e-16 samples  7630467
  57 avg 1.199309e-17 part 1.396501e-24 sdev 1.990701e-16 samples  6278343
  58 avg 8.706009e-18 part 1.851879e-24 sdev 1.496219e-16 samples  5140162
  59 avg 3.074820e-18 part 1.031481e-24 sdev 3.804406e-17 samples  4879476
  60 avg 1.847992e-18 part 1.093408e-24 sdev 2.875568e-17 samples  3333477
  61 avg 8.387834e-19 part 7.740596e-25 sdev 1.029615e-17 samples  2629233
  62 avg 4.396979e-19 part 7.035764e-25 sdev 6.076168e-18 samples  2072350
  63 avg 2.337066e-19 part 5.731552e-25 sdev 4.690177e-18 samples   952594
  64 avg 3.211327e-19 part 1.262231e-24 sdev 2.914836e-18 samples   736146
rest avg 2.008385e-24 part 2.008365e-24 sdev 1.926975e-21 samples 100000000 rej 1079)
eta   8.548393e-23
sdev  4.528988e-13
error 2.127001e-25
