no dst              Korf           6-6-6-6             8-8-8             9-8-7             9-9-6            max-of          improved             small    d1    d2
 1  95     2.031.102.635     1.059.622.872       199.198.406       163.950.295       133.060.463        63.948.759       108.703.674       117.467.064  0,55  0,59 **
 2  96   211.884.984.525    40.161.477.151    29.318.072.174    28.011.360.591    14.446.211.551     8.963.348.921    25.135.947.124    29.264.736.068  0,86  1,00 **
 3  97    21.148.144.928     4.805.007.493     5.699.072.723     6.731.407.433     2.146.564.697     1.113.194.453     3.999.342.793     5.434.702.977  0,70  0,95 **
 4  98    10.991.471.966     5.154.861.019     1.361.290.863       581.368.420       632.299.449       370.467.747       935.567.772     1.400.503.448  0,69  1,03 * 
 5 100     2.899.007.625     1.859.102.197     3.125.977.623     1.078.990.063       905.861.248       565.263.022       273.410.647       390.578.091  0,09  0,12 **
 6 101   103.460.814.368     9.810.208.759     2.397.434.227     1.982.606.973     2.739.184.006     1.053.141.115     4.796.719.621     6.698.966.111  2,00  2,79   
 7 104   106.321.592.792    27.686.193.468    26.781.188.637    19.232.502.973     6.429.879.587     4.395.653.789    13.194.614.396    17.906.078.537  0,49  0,67 **
 8 108   116.202.273.788    29.575.219.906     4.318.849.565     4.366.429.730     2.609.051.057     1.727.994.805    10.376.569.382    13.535.291.029  2,40  3,13   
 9 113 1.818.005.616.606   132.599.245.368    82.839.919.151    33.749.539.711    22.489.080.304    16.927.179.096   187.175.422.518   309.130.241.762  2,26  3,73   
10 114 1.519.052.821.943   525.907.193.133   207.752.246.775   192.243.603.386   105.311.763.457    63.629.118.230   134.940.105.049   167.583.392.153  0,65  0,81 **
11 106 1.654.042.891.186   309.253.017.124    22.602.670.676     7.683.989.291     8.343.197.181     4.678.739.173    49.573.504.121   116.474.549.412  2,19  5,15   
12 109   624.413.663.951    76.476.143.041    43.132.155.298    14.260.876.794     5.820.163.959     4.265.458.902   141.565.811.281   171.571.908.021  3,28  3,98   
13 101     1.959.833.487     1.979.587.555     1.181.771.575       690.327.991       444.476.728       268.475.464       616.447.004       701.223.515  0,52  0,59 **
14 111 1.283.051.362.385   312.885.453.572   419.699.251.120   360.169.788.945    74.779.904.961    63.056.188.490   150.994.599.974   200.822.010.034  0,36  0,48 **
15 103   173.999.717.809    52.178.879.610    26.951.022.561    18.771.225.751     9.741.418.794     8.075.823.446    20.200.259.355    26.267.090.496  0,75  0,97 **
16  96     3.803.445.934     1.783.144.872     1.729.554.795       966.783.772       387.360.939       296.519.726       553.571.538       662.629.439  0,32  0,38 **
17 109   367.150.048.758   143.972.316.747    49.516.974.145    25.000.824.805    20.405.484.237    15.304.298.302    22.863.713.753    33.631.896.485  0,46  0,68 **
18 110   987.725.030.433   126.470.260.027    18.375.847.744    18.999.810.842    15.070.620.942     7.809.249.544   216.061.645.298   285.537.534.331 11,76 15,54   
19 106   218.284.544.233    22.761.173.348     6.759.987.121     4.019.764.127     2.836.304.399     2.125.081.076    21.754.367.511    32.889.968.312  3,22  4,87   
20  92   312.016.177.684    20.689.215.063     9.014.702.404     4.354.383.611     1.615.310.063     1.378.812.797    18.204.163.668    22.735.477.601  2,02  2,52   
21 103   724.024.589.335    98.083.647.769    25.411.173.479    18.746.227.139    13.731.206.789     8.402.416.300    44.703.839.402    58.584.164.217  1,76  2,31   
22  95     3.592.980.531       581.539.254        82.503.279        88.652.504        81.038.427        37.858.513       358.982.248       548.311.618  4,35  6,65   
23 104   171.498.441.076    54.281.904.788    36.611.741.317    32.729.241.923    11.103.574.065     8.930.804.356    10.548.597.086    13.045.533.560  0,29  0,36 **
24 107   357.290.691.483    38.272.741.957    25.802.863.114    15.170.752.402     4.724.091.699     3.837.236.834    33.428.251.235    44.201.568.857  1,30  1,71   
25  81       292.174.444       127.949.696       118.780.897        85.141.009        17.658.986        15.217.162        69.184.229        84.227.356  0,58  0,71 **
26 105    12.397.787.391     6.039.700.647     4.993.857.550     2.525.926.189     1.337.993.889       955.364.988     2.139.369.616     2.659.110.319  0,43  0,53 **
27  99    53.444.360.033     7.884.559.441     1.415.859.414       611.960.188       432.345.846       337.466.232     2.046.198.636     4.216.102.078  1,45  2,98   
28  98     2.258.006.870       450.493.295       114.571.662        36.263.727        25.552.985        19.743.793       277.237.937       372.429.469  2,42  3,25   
29  88     4.787.505.637     1.090.385.785       128.886.129        34.814.333        59.609.938        21.223.415       328.724.666       600.979.319  2,55  4,66   
30  92     1.634.941.420       661.835.606       256.431.250       158.409.200        99.557.684        52.338.447       269.745.193       344.637.494  1,05  1,34   
31  99    26.200.330.686     7.785.405.374     3.653.831.114     2.058.364.161     1.622.465.469       992.726.542     8.155.230.997     9.053.104.297  2,23  2,48   
32  97       428.222.507       399.045.498       281.515.091       232.222.028       117.317.314        67.570.393       110.429.060       132.190.231  0,39  0,47 **
33 106 1.062.250.612.558   134.103.676.989    77.163.409.262    57.402.766.270    42.219.474.099    25.271.466.707   212.585.689.793   242.636.097.372  2,76  3,14   
